2016-02-16 20:51:30:000,-0.7425,0.2649,-0.1580,0,0,23.0,33.54,0.3134,0.4594,0.2545,0
2016-02-16 20:51:40:000,-0.8035,0.0371,-0.3472,0,0,22.9,22.79,0.1962,0.1826,0.3921,0
2016-02-16 20:51:50:000,-0.9662,-0.1296,0.2206,0,0,22.9,3.76,0.0106,0.0331,0.0231,0
2016-02-16 20:52:00:000,-0.9653,-0.1251,0.2310,0,0,22.9,5.09,0.0156,0.0128,0.0184,0
2016-02-16 20:52:10:000,-0.9603,-0.1213,0.2564,0,0,22.9,8.27,0.0226,0.0145,0.0204,0
2016-02-16 20:52:20:000,-0.9569,-0.1143,0.2732,0,0,22.9,7.67,0.0212,0.0117,0.0169,0
2016-02-16 20:52:30:000,-0.9553,-0.1126,0.2815,0,0,22.9,7.46,0.0242,0.0130,0.0160,0
2016-02-16 20:52:40:000,-0.9557,-0.1073,0.2826,0,0,22.9,7.03,0.0201,0.0157,0.0184,0
2016-02-16 20:52:50:000,-0.9610,-0.1084,0.2610,0,0,22.9,3.11,0.0091,0.0105,0.0107,0
2016-02-16 20:53:00:000,-0.9583,-0.1122,0.2719,0,0,22.9,6.86,0.0283,0.0163,0.0243,0
2016-02-16 20:53:10:000,-0.9488,-0.2241,-0.0054,0,0,22.9,8.75,0.0305,0.1001,0.2131,0
2016-02-16 20:53:20:000,-0.9180,-0.3412,-0.2077,0,0,22.9,3.04,0.0137,0.0199,0.0179,0
2016-02-16 20:53:30:000,-0.9652,-0.0531,-0.1587,0,0,22.9,17.47,0.0573,0.1685,0.1378,0
2016-02-16 20:53:40:000,-0.9420,-0.3337,-0.0871,0,0,22.9,4.59,0.0256,0.0194,0.0231,0
2016-02-16 20:53:50:000,-0.9568,-0.2658,-0.0221,0,0,22.9,7.82,0.0341,0.0922,0.0852,0
2016-02-16 20:54:00:000,-0.9712,-0.1872,0.1396,0,0,22.9,3.15,0.0090,0.0164,0.0197,0
2016-02-16 20:54:10:000,-0.9732,-0.1113,0.0856,0,0,22.9,5.45,0.0165,0.1363,0.1216,0
2016-02-16 20:54:20:000,-0.8198,-0.0425,0.5327,0,0,22.9,7.63,0.0468,0.0792,0.1837,0
2016-02-16 20:54:30:000,-0.8188,-0.0619,0.5596,0,0,22.9,11.90,0.0663,0.1166,0.0473,0
2016-02-16 20:54:40:000,-0.8496,0.0022,0.5322,0,0,22.9,4.27,0.0147,0.0109,0.0182,0
2016-02-16 20:54:50:000,-0.8560,-0.0085,0.5190,0,0,22.9,6.02,0.0300,0.0124,0.0525,0
2016-02-16 20:55:00:000,-0.8976,-0.0167,0.4454,0,0,22.9,5.07,0.0202,0.0106,0.0321,0
2016-02-16 20:55:10:000,-0.8751,-0.0084,0.4902,0,0,22.9,4.15,0.0107,0.0143,0.0137,0
2016-02-16 20:55:20:000,-0.8757,-0.0126,0.4878,0,0,22.9,2.92,0.0066,0.0077,0.0081,0
2016-02-16 20:55:30:000,-0.8787,-0.0126,0.4827,0,0,22.9,3.26,0.0075,0.0089,0.0098,0
2016-02-16 20:55:40:000,-0.8882,-0.0206,0.4653,0,0,22.9,4.03,0.0129,0.0121,0.0200,0
2016-02-16 20:55:50:000,-0.8922,-0.0270,0.4558,0,0,22.9,4.33,0.0134,0.0092,0.0136,0
2016-02-16 20:56:00:000,-0.8758,-0.0242,0.4877,0,0,22.9,4.48,0.0187,0.0115,0.0289,0
2016-02-16 20:56:10:000,-0.8587,-0.0186,0.5185,0,0,22.9,3.80,0.0107,0.0106,0.0131,0
2016-02-16 20:56:20:000,-0.8406,-0.0355,0.5433,0,0,22.9,2.81,0.0072,0.0075,0.0073,0
2016-02-16 20:56:30:000,-0.9044,-0.0664,0.3977,0,0,22.9,4.73,0.0587,0.0357,0.1359,0
2016-02-16 20:56:40:000,-0.9473,-0.0348,0.3232,0,0,22.9,3.19,0.0096,0.0211,0.0209,0
2016-02-16 20:56:50:000,-0.9350,-0.0247,0.3593,0,0,22.9,4.16,0.0127,0.0153,0.0199,0
2016-02-16 20:57:00:000,-0.9361,-0.0351,0.3570,0,0,22.9,3.30,0.0078,0.0092,0.0092,0
